游资标签,标签类型,席位ID,当前分组,当前元数据有效,开盘红完整标签,营业部全称,营业部归一键,独立观测次数,双源证据记录数,YYB日表匹配次数,龙虎榜动向匹配次数,名称直接命中观测,金额精确命中观测,首次观测,最近观测,金额中位误差_pct,金额最大误差_pct,标签观测占比_pct,置信度,匹配依据
三板组,策略/量化集群,88,庄股,是,庄股系列：三板组,信达证券股份有限公司温州瓯江路证券营业部,信达证券股份有限公司温州瓯江路证券营业部,2,2,2,0,0,2,2025-04-30,2026-03-25,0.0,0.0,33.33,B-中,同日同股金额精确匹配
三板组,策略/量化集群,88,庄股,是,庄股系列：三板组,招商证券股份有限公司深圳建安路证券营业部,招商证券股份有限公司深圳建安路证券营业部,2,2,2,0,0,2,2025-08-20,2025-09-23,9.9e-05,0.000198,33.33,B-中,同日同股金额精确匹配
三板组,策略/量化集群,88,庄股,是,庄股系列：三板组,华林证券股份有限公司深圳福华三路证券营业部,华林证券股份有限公司深圳福华三路证券营业部,1,1,1,0,0,1,2025-03-05,2025-03-05,0.0,0.0,16.67,C-低,同日同股金额精确匹配
三板组,策略/量化集群,88,庄股,是,庄股系列：三板组,申万宏源证券有限公司金华八一北街证券营业部,申万宏源证券有限公司金华八一北街证券营业部,1,1,1,0,0,1,2026-04-23,2026-04-23,2e-06,2e-06,16.67,C-低,同日同股金额精确匹配
南京帮,地域游资集群,93,庄股,是,短线主力：南京帮,华鑫证券有限责任公司深圳财富大厦证券营业部,华鑫证券有限责任公司深圳财富大厦证券营业部,7,7,7,0,0,7,2025-04-11,2025-09-10,0.0,0.0,53.85,A-高,同日同股金额精确匹配
南京帮,地域游资集群,93,庄股,是,短线主力：南京帮,华福证券有限责任公司南京胜太路证券营业部,华福证券有限责任公司南京胜太路证券营业部,2,2,2,0,0,2,2025-08-29,2025-09-17,0.0,0.0,15.38,B-中,同日同股金额精确匹配
南京帮,地域游资集群,93,庄股,是,短线主力：南京帮,首创证券股份有限公司徐州新淮海西路证券营业部,首创证券股份有限公司徐州新淮海西路证券营业部,2,2,2,0,0,2,2025-03-21,2025-04-07,0.0,1e-06,15.38,B-中,同日同股金额精确匹配
南京帮,地域游资集群,93,庄股,是,短线主力：南京帮,粤开证券股份有限公司青岛分公司,粤开证券股份有限公司青岛分公司,1,1,1,0,0,0,2025-03-17,2025-03-17,2.956018,2.956018,7.69,C-低,同日同股金额近似匹配
南京帮,地域游资集群,93,庄股,是,短线主力：南京帮,长江证券股份有限公司荆州北京西路证券营业部,长江证券股份有限公司荆州北京西路证券营业部,1,1,1,0,0,1,2025-10-13,2025-10-13,0.0,0.0,7.69,C-低,同日同股金额精确匹配
温州帮,地域游资集群,11,庄股,是,短线主力：温州帮,国泰海通证券股份有限公司深圳福田中心区华融大厦证券营业部,国泰系深圳福田中心区华融大厦证券营业部,1,1,1,0,0,0,2025-09-01,2025-09-01,2.655096,2.655096,25.0,C-低,同日同股金额近似匹配
温州帮,地域游资集群,11,庄股,是,短线主力：温州帮,天风证券股份有限公司杭州教工路证券营业部,天风证券股份有限公司杭州教工路证券营业部,1,1,1,0,0,1,2025-09-05,2025-09-05,0.0,0.0,25.0,C-低,同日同股金额精确匹配
温州帮,地域游资集群,11,庄股,是,短线主力：温州帮,海通证券股份有限公司杭州富春路证券营业部,海通证券股份有限公司杭州富春路证券营业部,1,1,1,0,0,0,2025-03-13,2025-03-13,0.439174,0.439174,25.0,C-低,同日同股金额近似匹配
温州帮,地域游资集群,11,庄股,是,短线主力：温州帮,长江证券股份有限公司深圳红荔路证券营业部,长江证券股份有限公司深圳红荔路证券营业部,1,1,1,0,0,1,2025-05-08,2025-05-08,0.0,0.0,25.0,C-低,同日同股金额精确匹配
N周二,游资别名/路线席位,61,一线游资,是,游资系列：N周二,中信证券股份有限公司杭州凤起路证券营业部,中信证券股份有限公司杭州凤起路证券营业部,108,108,1,107,0,108,2025-01-09,2025-12-17,9.8e-05,0.000445,100.0,A-高,同日同股金额精确匹配
上塘路,游资别名/路线席位,64,一线游资,是,游资系列：上塘路,联储证券股份有限公司杭州环城北路证券营业部,联储证券股份有限公司杭州环城北路证券营业部,132,166,130,36,0,132,2025-03-10,2026-06-23,0.0,0.000286,42.17,A-高,同日同股金额精确匹配
上塘路,游资别名/路线席位,64,一线游资,是,游资系列：上塘路,联储证券股份有限公司浙江分公司,联储证券股份有限公司浙江分公司,128,185,100,85,0,128,2025-01-02,2026-06-15,2e-06,0.000417,40.89,A-高,同日同股金额精确匹配
